id,root,affix,confidence,info,pos,tense,person,cases,singular,plural,question,negative,lexical_affixes,syntactical_affixes
421,kitob/ko'cha,larimizgina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
422,kitob,larimizdangina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
423,yugur/uxla/ek/chiq,Ganlarimiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
424,yugur/uxla/ek/chiq,Ganlarimizni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
426,yugur/uxla/ek/chiq,Ganimiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
427,yugur/uxla/ek/chiq,Ganimizda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
428,yugur/uxla/ek/chiq,Ganimizni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
429,yugur/uxla/ek/chiq,Ganimiznigina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
430,yugur/uxla/ek/chiq,Ganimizdagina,1,"G:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
431,yugur/uxla/ek/chiq,Ganimizday,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
432,ishla,ttir,1,FEL nisbat ishla{ttir},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
433,ishla,ttirgan,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
434,ishla,ttirgandi,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
435,ishla,ttirganmidi,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
436,ishla,ttirgandilar,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
437,ishla,ttirganding,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
438,ishla,ttirgandingiz,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
439,ishla,ttirganmidingiz,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
440,ishla,ttirganmiding,1,FEL nisbat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
442,yugur/uxla/ek/chiq,Gach,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
443,yugur/uxla/ek/chiq,Gachgina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
444,yugur/uxla/ek/chiq,(i)bgina,1,"Qoida: qushimchadagi b harfidan oldin i dan farqli unli kelsa, bu asosga tegishli buladi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
445,yugur/uxla/ek/chiq,Guncha,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
446,yugur/uxla/ek/chiq,Gudek,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
447,yugur/uxla/ek/chiq,(i)bdi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
448,yugur/uxla/ek/chiq,(i)bdimi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
449,yugur/uxla/ek/chiq,(i)bdilar,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
450,yugur/uxla/ek/chiq,(i)bdilarmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
452,yugur/uxla/ek/chiq,Ganinglar,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
453,yugur/uxla/ek/chiq,Ganinglarni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
454,yugur/uxla/ek/chiq,Ganinglarda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
455,yugur/uxla/ek/chiq,Ganinglardan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
457,yugur/uxla/ek/chiq,Gandan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
458,yugur/uxla/ek/chiq,Ganda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
459,yugur/uxla/ek/chiq,Ganni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
462,yugur/uxla/ek/chiq,Ganimday,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
463,yugur/uxla/ek/chiq,Ganingday,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
464,yugur/uxla/ek/chiq,Ganingizday,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
465,yugur/uxla/ek/chiq,Ganingizdek,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
466,yugur/uxla/ek/chiq,Ganingdek,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
468,yugur/uxla/ek/chiq,Ganimizdek,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
470,yugur/uxla/ek/chiq,Ganchalik,1,sakra{ganchalik},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
472,yugur/uxla/ek/chiq,Ganimning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
473,yugur/uxla/ek/chiq,Ganimnigina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
474,yugur/uxla/ek/chiq,Ganingnigina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
475,yugur/uxla/ek/chiq,Ganingiznigina,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
478,yur/uxla,(i)sh,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
479,yur/uxla,(i)shni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
480,yur/uxla,(i)shning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
481,yur/uxla,(i)shdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
482,yur/uxla,(i)shda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
483,yur/uxla,(i)shim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
484,yur/uxla,(i)shing,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
485,yur/uxla,(i)shingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
486,yur/uxla,(i)shimiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
487,yur/uxla,(i)shimizni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
488,yur/uxla,(i)shimizda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
489,yur/uxla,(i)shimizdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
490,yur/uxla,(i)shimizning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
491,yur/uxla,(i)shimni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
492,yur/uxla,(i)shimning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
493,yur/uxla,(i)shimda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
494,yur/uxla,(i)shimdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
495,yur/uxla,(i)shingni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
496,yur/uxla,(i)shingning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
497,yur/uxla,(i)shingda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
498,yur/uxla,(i)shingdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
499,yur/uxla,(i)shingizni,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
500,yur/uxla,(i)shingizning,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
501,yur/uxla,(i)shingizda,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
502,yur/uxla,(i)shingizdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
510,yur/uxla,(i)shimizga,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
511,yur/uxla,(i)shingizga,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
512,yur/uxla,(i)shingga,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
514,yur/uxla,(i)shimga,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
516,bor/yur/uxla,moq,0.1,FEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520,kurash/sakra,(i)shida,1,FEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
523,tayyor,ligini,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
524,yugur/ek/chiq/sakra,Ganligini,1,"G:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
529,qil/qala,(i)ndi,1,"o't qala{ndi}, qil{indi}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
530,qil/qala,(i)ngan,1,o't qala{ngan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
531,qil/qala,(i)ndimi,1,o't qala{ndimi},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
532,qil/qala,(i)nganmi,1,o't qala{ngan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
533,qil/qala,(i)nganmidi,1,o't qala{ngan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
534,qil/qala,(i)nganligi,1,o't qala{ngan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
535,kurash/sakra/o'tkaz,(i)shiga,1,o't qala{ngan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
536,qil/qala,(i)nmoqda,1,o't qala{nmoqda},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
537,qil/qala,(i)nayotgan,1,himoya qil{inayotgan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
538,qil/qala,(i)nayotganligi,1,himoya qil{inayotganligi},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,qil/qala,(i)nayotganda,1,himoya qil{inayotganda},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
540,qil/qala,(i)nayotgandan,1,himoya qil{inayotgandan},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
541,qil/qala,(i)nayotgandek,1,himoya qil{inayotgandek},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
542,qil/qala,(i)nayotgandagina,1,himoya qil{inayotgandagina},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
545,qo'shil/sakra,(i)shidan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
546,qo'shil/sakra,(i)shi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
547,qo'shil/sakra,(i)shini,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
550,qo'shil/sakra,(i)shdimi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
551,qo'shil/sakra,(i)shdingmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
552,qo'shil/sakra,(i)shdingizmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
553,qo'shil/sakra,(i)shdikmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
555,qo'shil/sakra,(i)shganmidingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
556,qo'shil/sakra,(i)shganmiding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
557,qo'shil/sakra,(i)shmagan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
558,qo'shil/sakra,(i)shmaganligi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
559,qo'shil/sakra,(i)shmagandi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
560,qo'shil/sakra,(i)shmaganing,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
561,qo'shil/sakra,(i)shmaganingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
562,qo'shil/sakra,(i)shmagani,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
564,qo'shil/ayt,masligi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
565,qo'shil/ayt,masligidan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
566,qo'shil/ayt,masligini,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
567,qo'shil/ayt,masliging,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
568,qo'shil/ayt,masligingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
570,qo'shil/ayt,maslik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
571,qo'shil/ayt,masligim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
573,qo'shil/ayt,masligingdan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
575,buyur/ayt/qil,Tirgan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
576,buyur/ayt/qil,Tirdi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
577,buyur/ayt/qil,Tirdimi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
578,buyur/ayt/qil,Tirding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
579,buyur/ayt/qil,Tirdik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
580,buyur/ayt/qil,Tirdingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
581,buyur/ayt/qil,Tirdim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
582,buyur/ayt/qil,Tirdilar,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
589,buyur/ayt/qil,Tirdingizmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
590,buyur/ayt/qil,Tirdingmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
591,buyur/ayt/qil,Tirdikmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592,buyur/ayt/qil,Tirdimmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
593,buyur/ayt/qil,Tirmadi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
594,buyur/ayt/qil,Tirmadik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
595,buyur/ayt/qil,Tirmading,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
596,buyur/ayt/qil,Tirmadingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
597,buyur/ayt/qil,Tirmagan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
598,buyur/ayt/qil,Tirmagandi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
599,buyur/ayt/qil,Tirmaganding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
600,buyur/ayt/qil,Tirmagandingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
601,buyur/ayt/qil,Tirmagandik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
602,buyur/ayt/qil,Tirmagandim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
604,ishla/sakra,ttirdi,1,"{t} FEL nisbatidan keyin {tir} nisbati qushilganda suz bu bn tugay olmaydi, masalan {ishla+t+tir} ishlattir degan suz bulmaydi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
605,ishla/sakra,ttirdim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
606,ishla/sakra,ttirdik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
607,ishla/sakra,ttirding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
608,ishla/sakra,ttirdingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
609,ishla/sakra,ttirildi,1,{t+tir+il}+di 3 ta FEL nisbati,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
610,ishla/sakra,ttirilgan,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
611,ishla/sakra,ttirildimi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
612,ishla/sakra,ttirilganmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
613,ishla/sakra,ttirilganmidik,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
614,ishla/sakra,ttirilganmiding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
615,ishla/sakra,ttirilganmidingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
616,ishla/sakra,ttirilganing,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
617,ishla/sakra,ttirilganingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
618,ishla/sakra,ttirilganim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
619,ishla/sakra,ttirilgandim,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620,ishla/sakra,ttirilganding,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
621,ishla/sakra,ttirilgandingiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
622,yur/uxla,(i)shimgacha,1,tur{ishimgacha} gapirishdi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
623,yur/uxla,(i)shinggacha,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
628,tur/uxla,(i)shingizgacha,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
